id,name,price,originalprice,discountpercentage,rating,detail,platform,productmasterid,createdat
1,SBM ~ UNILEVER Dove Shampo Shampoo RENCENG | 12 SACHET X 9ML - DOVE ABU,10315,10315,0.0,5.0,9ML,tokopedia,sbm-unilever-dove-shampo-shampoo-renceng-12-sachet-x-9ml-dove-hijau,07-Aug-25
2,Water Purifier Mesin Pure It Classic 9 Liter Unilever ORI Pureit 9L,912000,912000,0.0,0.0,9L,tokopedia,water-purifier-mesin-pure-it-classic-9-liter-unilever-ori-pureit-9l,07-Aug-25
3,buku PT Unilever Indonesia tbk laporan tahunan annual report 2019,100000,100000,0.0,0.0,,tokopedia,buku-pt-unilever-indonesia-tbk-laporan-tahunan-annual-report-2019,07-Aug-25
4,Promo Unilever Pure It Dispenser Air Classic Blue - 9L Diskon,807000,807000,0.0,0.0,9L,tokopedia,promo-unilever-pure-it-dispenser-air-classic-blue-9l-diskon,07-Aug-25
5,LAKBAN CURAH KILOAN PABRIK BRAND UNILEVER WINGS MURAH EKONOMIS JAKARTA,5900,5900,0.0,4.4,,tokopedia,lakban-curah-kiloan-pabrik-brand-unilever-wings-murah-ekonomis-jakarta,07-Aug-25
6,Unilever Pureit Classic Germkill Kit Filter 3000L / 1500L Refill Pure,454750,454750,0.0,0.0,3000L 1500L,tokopedia,unilever-pureit-classic-germkill-kit-filter-3000l-1500l-refill-pure-1500l-60c45,07-Aug-25
7,[Preloved] Unilever Pure It Pureit Classic 9L Water Purifier Filter,440000,440000,0.0,0.0,9L,tokopedia,preloved-unilever-pure-it-pureit-classic-9l-water-purifier-filter,07-Aug-25
8,TERBARU! Unilever pureit / batang penjernih,462000,462000,0.0,0.0,,tokopedia,terbaru-unilever-pureit-batang-penjernih,07-Aug-25
9,Tali Idcard UNILEVER / Lanyard UNILEVER [READY STOCK] TERMURAH !!! BELI ECERAN RASA GROSIR,23000,23000,0.0,5.0,,tokopedia,tali-idcard-unilever-lanyard-unilever-ready-stock-termurah-beli-eceran-rasa-grosir-tali-aja-7bc25,07-Aug-25
10,UNILEVER PureIt Water Purifier,1000000,1000000,0.0,0.0,,tokopedia,unilever-pureit-water-purifier,07-Aug-25
11,Unilever Pure it Classic 9 Liter Dispenser Air Water Purifier Murah,807000,807000,0.0,0.0,,tokopedia,unilever-pure-it-classic-9-liter-dispenser-air-water-purifier-murah,07-Aug-25
12,Unilever Wadah Atas Pure It Classic 9 Liter 0Riginal,191000,191000,0.0,0.0,,tokopedia,unilever-wadah-atas-pure-it-classic-9-liter-0riginal-1731058005418936273,07-Aug-25
13,Promo Unilever Pure It Water Purifier Classic 9 Liter - WHITE Murah,1735600,1735600,0.0,0.0,,tokopedia,promo-unilever-pure-it-water-purifier-classic-9-liter-white-murah,07-Aug-25
